query,expected_hyde_document
How do B-Tree indexes work in storage engines?,"A B-Tree index is a balanced, multi-way tree structure that maintains sorted keys across internal and leaf nodes, guaranteeing O(log n) lookup, insert, and delete operations even as data grows. Each node stores an array of keys and child pointers; when a node exceeds its maximum capacity, it splits and pushes a median key up to its parent, keeping the tree balanced. Storage engines persist B-Tree nodes as fixed-size pages (commonly 4KB or 8KB) so that a single node maps cleanly onto a disk block, minimizing I/O per traversal.

```sql
CREATE INDEX idx_users_email ON users USING btree (email);
```

Because internal nodes only route traversal while leaf nodes hold the actual key-value pairs (as in a B+Tree), range scans can walk linked leaf nodes sequentially without re-traversing the tree, making B-Trees the default index structure in most relational and embedded databases."
What is the difference between B-Trees and LSM Trees?,"B-Trees and Log-Structured Merge (LSM) Trees represent two dominant strategies for organizing on-disk data. B-Trees update data in place: a write locates the correct leaf page, modifies it, and persists the change directly, which keeps reads fast but makes writes more expensive due to random I/O and page splits. LSM Trees instead buffer writes in an in-memory memtable and flush them sequentially to immutable SSTables on disk, converting random writes into sequential ones and dramatically improving write throughput. The tradeoff is read amplification, since a lookup may need to check the memtable and multiple SSTables across levels, mitigated by Bloom filters and compaction. Systems like PostgreSQL and MySQL/InnoDB use B-Trees, while RocksDB, Cassandra, and LevelDB use LSM Trees, reflecting their respective write-heavy or read-heavy optimization goals."
How does write-ahead logging ensure durability?,"Write-ahead logging (WAL) is the mechanism by which a database guarantees durability and atomicity: before any change is applied to the actual data pages, a record describing that change is appended to a sequential log file and fsynced to durable storage.

```
LSN 00234: BEGIN TXN 42
LSN 00235: UPDATE table=accounts page=17 old=100 new=80
LSN 00236: COMMIT TXN 42
```

Because the log is append-only, writing to it is fast even on spinning disks, and because it is durable before the transaction is acknowledged as committed, the database can always replay the log to reconstruct the correct state after a crash. On restart, the recovery process reads the WAL from the last checkpoint, redoes all committed changes, and undoes any changes belonging to transactions that never committed, restoring the database to a consistent state without losing acknowledged writes."
What is a memtable in an LSM-based storage engine?,"A memtable is the in-memory write buffer at the front of an LSM Tree storage engine, typically implemented as a skip list or a balanced tree to keep keys sorted with O(log n) insertion. Every write first appends to the write-ahead log for durability, then updates the memtable so that reads immediately see the new value without touching disk. Once the memtable reaches a configured size threshold (for example 64MB), it is frozen, made immutable, and flushed to disk as a new sorted string table (SSTable); a fresh, empty memtable takes over new writes. This design converts random writes into a single sequential flush, which is central to the high write throughput of LSM-based engines such as RocksDB and Cassandra."
How do SSTables get compacted over time?,"Compaction is the background process that merges multiple SSTables into fewer, larger files, removing obsolete versions of keys, tombstoned deletes, and duplicate entries created by repeated flushes. In size-tiered compaction, SSTables of similar size are merged together once enough accumulate, favoring write throughput but risking read and space amplification. In leveled compaction, SSTables are organized into levels (L0, L1, L2, ...) with each level roughly ten times larger than the previous; compaction merges a file from level N into overlapping files at level N+1, bounding the number of files a read must check. Both strategies aim to reduce read amplification, write amplification, and space amplification, and the choice between them is a central performance tuning decision in engines like RocksDB and Cassandra."
What role do bloom filters play in read optimization?,"A Bloom filter is a space-efficient probabilistic data structure that answers 'possibly present' or 'definitely absent' for set membership queries, using multiple hash functions to set bits in a fixed-size bit array. In an LSM Tree storage engine, each SSTable carries its own Bloom filter; before performing a disk read to check if a key exists in that file, the engine first checks the filter in memory. If the filter returns 'definitely absent,' the read is skipped entirely, saving an expensive disk I/O; false positives are possible but tunable via the number of hash functions and bits per key, typically configured around 10 bits per key for a ~1% false positive rate. This makes Bloom filters a key optimization for reducing read amplification in engines like RocksDB, Cassandra, and HBase."
How does the buffer pool manage pages in memory?,"The buffer pool is a dedicated in-memory cache of fixed-size disk pages managed directly by the database engine, distinct from the operating system's page cache. When a query needs a page, the engine first checks the buffer pool; on a miss, it reads the page from disk and inserts it, evicting a victim page if the pool is full, typically using an LRU or clock-sweep replacement policy tuned to avoid single-scan pollution. Pages modified in memory are marked dirty and are not immediately written back to disk; instead they are flushed lazily or during checkpointing, batching writes for efficiency. Sizing the buffer pool correctly is one of the most impactful tuning levers in systems like PostgreSQL (shared_buffers) and MySQL/InnoDB (innodb_buffer_pool_size)."
What is checkpointing used for in database recovery?,"A checkpoint is a periodic snapshot marker written to the write-ahead log that records which dirty pages have already been flushed to disk, allowing crash recovery to skip re-processing log entries older than the checkpoint. A consistent checkpoint pauses all writes to capture a clean snapshot, which is simple but causes latency spikes, while a fuzzy checkpoint allows writes to continue during the flush and instead records the range of log sequence numbers covered. Databases typically trigger checkpoints on a timer, after a threshold of WAL bytes written, or on graceful shutdown; the ARIES recovery algorithm relies on the checkpoint's dirty-page table to know exactly where to begin the redo phase, dramatically shortening recovery time on large databases."
How does the ARIES recovery algorithm work?,"ARIES (Algorithm for Recovery and Isolation Exploiting Semantics) recovers a database to a consistent state through three sequential phases. The analysis phase scans the WAL from the last checkpoint to reconstruct the dirty page table and the list of transactions active at crash time. The redo phase replays every logged change from the earliest relevant log sequence number forward, regardless of whether the owning transaction committed, restoring the exact physical state at the moment of the crash. The undo phase then rolls back any transactions that were not committed, using compensation log records (CLRs) so that the undo itself is logged and idempotent if the recovery process crashes again mid-recovery."
What are the different B-Tree node splitting strategies?,"When a B-Tree node fills beyond its capacity during an insert, it splits: the node's keys are divided at the median, the median key is pushed up into the parent node as a separator, and two new sibling nodes are created from the lower and upper halves. If the parent is also full, the split propagates upward, potentially creating a new root and increasing the tree's height by one level. Conversely, when a node falls below its minimum occupancy after a delete, it either borrows a key from an adjacent sibling (rotation) or merges with that sibling, potentially propagating a merge upward. Concurrent B-Tree implementations use techniques like latch coupling or the B-link algorithm to allow splits without blocking all readers."
